time,latitude,longitude,altitude
13:17:45,52.269451,0.8773718,7557
13:18:05,52.269741,0.8803065,7427
13:18:25,52.27002,0.8830777,7294
13:18:45,52.27039,0.8860413,7167
13:19:25,52.270958,0.8918175,6907
13:19:05,52.270733,0.8890746,7037
13:19:45,52.271225,0.8946138,6778
13:20:05,52.271812,0.8973385,6648
13:20:25,52.272312,0.9000971,6522
13:20:45,52.27272,0.9028003,6396
13:21:25,52.273376,0.9080065,6149
13:21:05,52.273029,0.9054659,6272
13:21:45,52.273743,0.9106929,6025
13:22:05,52.274178,0.9134608,5901
13:22:25,52.274555,0.9163142,5780
13:22:45,52.274834,0.9192159,5656
13:23:05,52.275116,0.9220616,5536
13:23:25,52.275406,0.9248936,5415
13:23:45,52.275848,0.927848,5293
13:24:05,52.27652,0.930826,5174
13:24:45,52.278111,0.9361988,4941
13:24:25,52.277237,0.933589,5056
13:25:05,52.278957,0.9385915,4825
13:25:45,52.280636,0.9433085,4594
13:25:25,52.279758,0.9408883,4710
13:26:05,52.281487,0.9459674,4485
13:26:25,52.282413,0.9485533,4369
13:26:45,52.283279,0.9510099,4259
13:27:05,52.283978,0.953366,4161
13:27:25,52.284451,0.9557779,4046
13:27:45,52.285057,0.958111,3936
13:28:05,52.28561,0.9605083,3833
13:28:25,52.28627,0.9630273,3730
13:28:45,52.286922,0.9653133,3627
13:29:05,52.287563,0.9675932,3525
13:29:25,52.288246,0.970046,3425
13:29:45,52.288853,0.9724731,3328
13:30:05,52.289547,0.974792,3232
13:30:25,52.290173,0.9772475,3134
13:30:45,52.290806,0.9795007,3036
13:31:05,52.291458,0.9814626,2939
13:31:25,52.292202,0.9833908,2839
13:31:45,52.292877,0.9853365,2737
13:32:05,52.29335,0.9875392,2630
13:32:25,52.293663,0.9901587,2528
13:32:45,52.294025,0.9927498,2429
13:33:05,52.294395,0.9954475,2336
13:33:25,52.294807,0.9983999,2250
13:33:45,52.295132,1.001031,2161
13:34:05,52.295288,1.0036922,2077
13:34:25,52.295406,1.0066185,1990
13:34:45,52.295551,1.0095755,1899
13:35:45,52.296001,1.0178273,1604
13:35:05,52.295628,1.0124277,1796
13:36:05,52.296143,1.0207204,1515
13:35:25,52.295746,1.0151261,1693
13:36:25,52.296318,1.023559,1438
13:36:45,52.296619,1.0263615,1357
13:37:05,52.297077,1.0290523,1269
13:37:25,52.297447,1.0317962,1185
13:38:05,52.298367,1.0363208,1019
13:38:25,52.29892,1.0383188,926
13:37:45,52.297832,1.034297,1106
13:39:22,52.300598,1.0435905,683
13:38:44,52.299435,1.040157,847
13:39:03,52.300014,1.0419289,762
13:39:41,52.301235,1.0451183,601
13:40:00,52.301746,1.0469402,519
